,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
0,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",G,N,N,100.0,N,N
1,AAL,"American Airlines Group, Inc. - Common Stock",Q,N,N,100.0,N,N
2,AAME,Atlantic American Corporation - Common Stock,G,N,N,100.0,N,N
3,AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,N,N,100.0,N,N
4,AAON,"AAON, Inc. - Common Stock",Q,N,N,100.0,N,N
5,AAPL,Apple Inc. - Common Stock,Q,N,N,100.0,N,N
6,AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,N,N,100.0,N,N
7,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,G,N,N,100.0,Y,N
8,AAXN,"Axon Enterprise, Inc. - Common Stock",Q,N,N,100.0,N,N
9,ABCB,Ameris Bancorp - Common Stock,Q,N,N,100.0,N,N
10,ABEO,Abeona Therapeutics Inc. - Common Stock,S,N,D,100.0,N,N
11,ABIO,"ARCA biopharma, Inc. - Common Stock",S,N,N,100.0,N,N
12,ABMD,"ABIOMED, Inc. - Common Stock",Q,N,N,100.0,N,N
13,ABTX,"Allegiance Bancshares, Inc. - Common Stock",G,N,N,100.0,N,N
14,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,N,N,100.0,N,N
15,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100.0,N,N
16,ACAM,Acamar Partners Acquisition Corp. - Class A Common Stock,S,N,N,100.0,N,N
17,ACAMU,Acamar Partners Acquisition Corp. - Units,S,N,N,100.0,N,N
18,ACAMW,Acamar Partners Acquisition Corp. - Warrant,S,N,N,100.0,N,N
19,ACBI,"Atlantic Capital Bancshares, Inc. - Common Stock",Q,N,N,100.0,N,N
20,ACER,Acer Therapeutics Inc. - Common Stock,S,N,N,100.0,N,N
21,ACGL,Arch Capital Group Ltd. - Common Stock,Q,N,N,100.0,N,N
22,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,N,N,100.0,N,N
23,ACGLP,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Q,N,N,100.0,N,N
24,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100.0,N,N
25,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",S,N,D,100.0,N,N
26,ACIA,"Acacia Communications, Inc. - Common Stock",Q,N,N,100.0,N,N
27,ACIU,AC Immune SA - Common Stock,G,N,N,100.0,N,N
28,ACIW,"ACI Worldwide, Inc. - Common Stock",Q,N,N,100.0,N,N
29,ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N
30,ACMR,"ACM Research, Inc. - Class A Common Stock",G,N,N,100.0,N,N
31,ACNB,ACNB Corporation - Common Stock,S,N,N,100.0,N,N
32,ACOR,"Acorda Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
33,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
34,ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
35,ACST,"Acasti Pharma, Inc. - Class A Common Stock",S,N,D,100.0,N,N
36,ACT,AdvisorShares Vice ETF,G,N,N,100.0,Y,N
37,ACTG,Acacia Research Corporation - Common Stock,Q,N,N,100.0,N,N
38,ACTT,Act II Global Acquisition Corp. - Class A Ordinary Shares,S,N,N,100.0,N,N
39,ACTTU,Act II Global Acquisition Corp. - Unit,S,N,N,100.0,N,N
40,ACTTW,Act II Global Acquisition Corp. - Warrant,S,N,N,100.0,N,N
41,ACWI,iShares MSCI ACWI Index Fund,G,N,N,100.0,Y,N
42,ACWX,iShares MSCI ACWI ex US Index Fund,G,N,N,100.0,Y,N
43,ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Q,N,N,100.0,N,N
44,ADBE,Adobe Inc. - Common Stock,Q,N,N,100.0,N,N
45,ADES,"Advanced Emissions Solutions, Inc. - Common Stock",G,N,N,100.0,N,N
46,ADI,"Analog Devices, Inc. - Common Stock",Q,N,N,100.0,N,N
47,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",S,N,N,100.0,N,N
48,ADILW,"Adial Pharmaceuticals, Inc - Warrant",S,N,N,100.0,N,N
49,ADMA,ADMA Biologics Inc - Common Stock,G,N,N,100.0,N,N
50,ADMP,Adamis Pharmaceuticals Corporation - Common Stock,S,N,D,100.0,N,N
51,ADMS,"Adamas Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
52,ADP,"Automatic Data Processing, Inc. - Common Stock",Q,N,N,100.0,N,N
53,ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,N,N,100.0,N,N
54,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,G,N,N,100.0,Y,N
55,ADRO,"Aduro Biotech, Inc. - Common Stock",Q,N,N,100.0,N,N
56,ADSK,"Autodesk, Inc. - Common Stock",Q,N,N,100.0,N,N
57,ADTN,"ADTRAN, Inc. - Common Stock",Q,N,N,100.0,N,N
58,ADUS,Addus HomeCare Corporation - Common Stock,Q,N,E,100.0,N,N
59,ADVM,"Adverum Biotechnologies, Inc. - Common Stock",G,N,N,100.0,N,N
60,ADXN,Addex Therapeutics Ltd - American Depositary Shares,S,N,N,100.0,N,N
61,ADXS,"Advaxis, Inc. - Common Stock",Q,N,D,100.0,N,N
62,AEGN,Aegion Corp - Class A Common Stock,Q,N,N,100.0,N,N
63,AEHR,Aehr Test Systems - Common Stock,S,N,N,100.0,N,N
64,AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100.0,N,N
65,AEMD,"Aethlon Medical, Inc. - Common Stock",S,N,N,100.0,N,N
66,AERI,"Aerie Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
67,AESE,"Allied Esports Entertainment, Inc. - Common Stock",S,N,N,100.0,N,N
68,AEY,"ADDvantage Technologies Group, Inc. - Common Stock",G,N,N,100.0,N,N
69,AEYE,"AudioEye, Inc. - Common Stock",S,N,N,100.0,N,N
70,AEZS,Aeterna Zentaris Inc. - Common Stock,S,N,D,100.0,N,N
71,AFH,"Atlas Financial Holdings, Inc. - Ordinary Shares",S,N,H,100.0,N,N
72,AFIN,"American Finance Trust, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
73,AFINP,"American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock",Q,N,N,100.0,N,N
74,AFMD,Affimed N.V. - Common Stock,G,N,N,100.0,N,N
75,AFYA,Afya Limited - Class A Common Shares,Q,N,N,100.0,N,N
76,AGBA,AGBA Acquisition Limited - Ordinary Share,S,N,N,100.0,N,N
77,AGBAR,AGBA Acquisition Limited - Right,S,N,N,100.0,N,N
78,AGBAU,AGBA Acquisition Limited - Unit,S,N,N,100.0,N,N
79,AGBAW,AGBA Acquisition Limited - Warrant,S,N,N,100.0,N,N
80,AGEN,Agenus Inc. - Common Stock,S,N,N,100.0,N,N
81,AGFS,"AgroFresh Solutions, Inc. - Common Stock",Q,N,N,100.0,N,N
82,AGFSW,"AgroFresh Solutions, Inc. - Warrants",Q,N,N,100.0,N,N
83,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
84,AGLE,"Aeglea BioTherapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
85,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,S,N,D,100.0,N,N
86,AGNC,AGNC Investment Corp. - Common Stock,Q,N,N,100.0,N,N
87,AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,N,N,100.0,N,N
88,AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N
89,AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N
90,AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N
91,AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,G,N,N,100.0,Y,N
92,AGRX,"Agile Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
93,AGTC,Applied Genetic Technologies Corporation - Common Stock,G,N,N,100.0,N,N
94,AGYS,"Agilysys, Inc. - Common Stock",Q,N,N,100.0,N,N
95,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,G,N,N,100.0,Y,N
96,AHCO,AdaptHealth Corp.  - Class A Common Stock,S,N,N,100.0,N,N
97,AHPI,"Allied Healthcare Products, Inc. - Common Stock",S,N,N,100.0,N,N
98,AIA,iShares Asia 50 ETF,G,N,N,100.0,Y,N
99,AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,G,N,N,100.0,N,N
100,AIHS,Senmiao Technology Limited - Common Stock,S,N,D,100.0,N,N
101,AIKI,AIkido Pharma Inc. - Common Stock,S,N,N,100.0,N,N
102,AIMC,Altra Industrial Motion Corp. - Common Stock,Q,N,N,100.0,N,N
